nombre,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,url,id_link_producto,peso
Galletitas Cereal Mix Frutilla y Chia 207 Gr,2261.11,2261.11,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletitas_cereal_mix_frutilla_y_chia_207_gr,50,0.207
Galletita de Chocolate Mini Polvorita 152 Gr,1144.09,1144.09,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletita_de_chocolate__mini_polvorita_152_gr,31,0.152
Galletitas Boca De Dama Terrabusi 170 G,1508.45,1508.45,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletitas_boca_de_dama_terrabusi_170_g,35,0.17
Cerveza Rubia Bohemian Patagonia 473 Cc,4405.34,4405.34,0,L,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/cerveza_rubia_bohemian_patagonia_473_cc,321,0.473
Fideos Tallarines Terrabusi 500gr,1079.42,1079.42,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/fideos_tallarines_terrabusi_500gr2,94,0.5
Jugo De Pomelo Citric Con Pulpa 1 L,3698.91,3698.91,0,L,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/jugo_de_pomelo_citric_con_pulpa_1_l,306,1.0
Galletitas Oreo Rellenas Tripack 354 Gr,5052.41,5052.41,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletitas_oreo_rellenas_tripack_354_gr,67,0.354
Gaseosa Mirinda Naranja 2.25 Lt,1890.17,1890.17,0,L,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/gaseosa_mirinda_naranja_225_lt,274,2.25
Mayonesa Natura Con Jugo De Limon 475 g,4351.28,4351.28,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/mayonesa_natura_con_jugo_de_limon_475_g,247,0.475
Yerba Mate Rosamonte Plus 500 Gr,1771.56,1771.56,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/yerba_mate_rosamonte_plus_500_gr2,361,0.5
"Aceite De Girasol Natura 1,5 Lt",6563.27,6563.27,0,L,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/aceite_de_girasol_natura_15_lt,116,1.5
Yerba Mate Compuesta Cachamate Hierbas Serranas (blanco)(menta-peperina -poleo) 500 Gr,2107.74,2107.74,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/yerba_mate_compuesta_cachamate_hierbas_serranas_blancomenta-peperina_-poleo_500_gr,385,0.5
