nombre,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,url,id_link_producto,producto_nombre,fecha_extraccion
Galletitas Saludables Molino Natural Avena Y Granola X 240 Gr,2339.0,1520.35,,,2da al 70%,2026-04-24,Masonline,https://www.masonline.com.ar/galletitas-saludables-molino-natural-avena-y-granola-x-240-gr-2/p,1058,,
Galletitas de vainillas Mellizas rellenas de limón x3 110 g.,3900,3900,11818.18,1 K.,Ninguno,2026-04-24,Carrefour,https://www.carrefour.com.ar/galletitas-de-vainilla-mellizas-rellenas-de-limon-x3-110-g-742461/p,479,,
Galletitas Rellenas Terrabusi Melba 360 Gr,,,,,Ninguno,2026-04-24,Masonline,https://www.masonline.com.ar/galletitas-rellenas-terrabusi-melba-360-gr-2/p,977,,
Galletitas surtido Diversión en bolsa 400 g.,0,0,6497.50,1 K.,Ninguno,2026-04-24,Carrefour,https://www.carrefour.com.ar/galletitas-surtido-diversion-en-bolsa-400-g-737813/p,423,,
Gaseosa Paso De Los Toros Sabor Pomelo 1.5 L,3399.0,2266.0,,,Ninguno,2026-04-24,Masonline,https://www.masonline.com.ar/gaseosa-pomelo-paso-de-los-toros-1-5-lt-2/p,1400,,
Jugo Baggio Pronto Naranja 1 L,,,,,Ninguno,2026-04-24,Masonline,https://www.masonline.com.ar/jugo-baggio-pronto-naranja-1-l/p,1448,,
Vino Malbec Finca Natalina Auténtico 750 Ml.,4940.0,4940.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/vino-malbec-finca-natalina-autentico-750-ml-297051/p,2331,Vino Malbec Finca Natalina Auténtico 750 Ml.,2026-04-24 20:02:49
Cerveza Andes Origen IPA Andina Lata 473 Ml.,3025.0,3025.0,,,2do al 50%,,Dia,https://diaonline.supermercadosdia.com.ar/cerveza-andes-origen-ipa-andina-lata-473-ml-298961/p,1939,Cerveza Andes Origen IPA Andina Lata 473 Ml.,2026-04-24 20:02:53
"Gaseosa Cola Cunnington 2,25 Lt.",2499.0,1625.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/gaseosa-cola-cunnington-225-lt-264018/p,2066,"Gaseosa Cola Cunnington 2,25 Lt.",2026-04-24 20:02:54
Polenta Instantánea Molinos Ala 500 G,,,,,Ninguno,2026-04-24,Masonline,https://www.masonline.com.ar/polenta-instantanea-molinos-ala-500-g/p,4342,,
