error_type,url,titulo,id_link_producto,nombre,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,producto_nombre,fecha_extraccion
exception,https://depotexpress.com.ar/productos/desayuno/merm-bc-durazno-390x/,"Message: timeout: Timed out receiving message from renderer: 6.053
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43ca1f9]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c844f]
	chromedriver!(No symbol) [0x7ff7b43d796a]
	chromedriver!(No symbol) [0x7ff7b43ee817]
	chromedriver!(No symbol) [0x7ff7b43f66aa]
	chromedriver!(No symbol) [0x7ff7b43c8c11]
	chromedriver!(No symbol) [0x7ff7b43ee543]
	chromedriver!(No symbol) [0x7ff7b4484c15]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",3526,,,,,,,,,,
exception,https://depotexpress.com.ar/productos/comestibles/fido-matar-spag-trad-500x/,"Message: timeout: Timed out receiving message from renderer: 6.319
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43ca1f9]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c844f]
	chromedriver!(No symbol) [0x7ff7b43d796a]
	chromedriver!(No symbol) [0x7ff7b43ee817]
	chromedriver!(No symbol) [0x7ff7b43f66aa]
	chromedriver!(No symbol) [0x7ff7b43c8c11]
	chromedriver!(No symbol) [0x7ff7b43ee543]
	chromedriver!(No symbol) [0x7ff7b4484c15]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",3465,,,,,,,,,,
exception,https://www.delimart.com.ar/galletita_mana_acaramelada_x145_gr,"Message: timeout: Timed out receiving message from renderer: -0.008
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43ca1f9]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c844f]
	chromedriver!(No symbol) [0x7ff7b43d796a]
	chromedriver!(No symbol) [0x7ff7b43ee817]
	chromedriver!(No symbol) [0x7ff7b43f66aa]
	chromedriver!(No symbol) [0x7ff7b43c8c11]
	chromedriver!(No symbol) [0x7ff7b43ee543]
	chromedriver!(No symbol) [0x7ff7b4484737]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",3775,,,,,,,,,,
,https://depotexpress.com.ar/productos/desayuno/merm-arcor-damasco-454x/,,3522,MERM ARCOR DAMASCO 454X,2740.37,2740.37,0,,Ninguno,2026-05-28,Depot,,
exception,https://www.delimart.com.ar/yerba_mate_seleccion_especial_cruz_de_malta_500_gr,"Message: timeout: Timed out receiving message from renderer: -0.010
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43ca1f9]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c844f]
	chromedriver!(No symbol) [0x7ff7b43d796a]
	chromedriver!(No symbol) [0x7ff7b43ee817]
	chromedriver!(No symbol) [0x7ff7b43f66aa]
	chromedriver!(No symbol) [0x7ff7b43c8c11]
	chromedriver!(No symbol) [0x7ff7b43ee543]
	chromedriver!(No symbol) [0x7ff7b4484737]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",4220,,,,,,,,,,
,https://diaonline.supermercadosdia.com.ar/lentejas-secas-remojadas-dia-300-gr-279126/p,,2320,Lentejas Secas Remojadas Dia 300 Gr.,911.0,911.0,,,,,Dia,Lentejas Secas Remojadas Dia 300 Gr.,2026-05-28 15:23:30
exception,https://www.delimart.com.ar/bizcochos_agridulces_9_de_oro_200_gr2,"Message: unknown error: net::ERR_CONNECTION_TIMED_OUT
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43da0e4]
	chromedriver!(No symbol) [0x7ff7b43ca4c1]
	chromedriver!(No symbol) [0x7ff7b43cc3af]
	chromedriver!(No symbol) [0x7ff7b43caa63]
	chromedriver!(No symbol) [0x7ff7b43ca22b]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c8272]
	chromedriver!(No symbol) [0x7ff7b43e1866]
	chromedriver!(No symbol) [0x7ff7b44856c4]
	chromedriver!(No symbol) [0x7ff7b446005a]
	chromedriver!(No symbol) [0x7ff7b448486f]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",3835,,,,,,,,,,
exception,https://depotexpress.com.ar/productos/otros/producto-115/,"Message: timeout: Timed out receiving message from renderer: 6.209
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43ca1f9]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c844f]
	chromedriver!(No symbol) [0x7ff7b43d796a]
	chromedriver!(No symbol) [0x7ff7b43ee817]
	chromedriver!(No symbol) [0x7ff7b43f66aa]
	chromedriver!(No symbol) [0x7ff7b43c8c11]
	chromedriver!(No symbol) [0x7ff7b43ee543]
	chromedriver!(No symbol) [0x7ff7b4484c15]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",3608,,,,,,,,,,
exception,https://www.delimart.com.ar/yerba_mate_compuesta_cachamate_hierbas_serranas_blancomenta-peperina_-poleo_500_gr,"Message: timeout: Timed out receiving message from renderer: -0.015
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43ca1f9]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c844f]
	chromedriver!(No symbol) [0x7ff7b43d796a]
	chromedriver!(No symbol) [0x7ff7b43ee817]
	chromedriver!(No symbol) [0x7ff7b43f66aa]
	chromedriver!(No symbol) [0x7ff7b43c8c11]
	chromedriver!(No symbol) [0x7ff7b43ee543]
	chromedriver!(No symbol) [0x7ff7b4484737]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",4222,,,,,,,,,,
exception,https://www.delimart.com.ar/mermelada_frutilla_la_campagnola_454_gr,"Message: unknown error: net::ERR_CONNECTION_TIMED_OUT
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43da0e4]
	chromedriver!(No symbol) [0x7ff7b43ca4c1]
	chromedriver!(No symbol) [0x7ff7b43cc3af]
	chromedriver!(No symbol) [0x7ff7b43caa63]
	chromedriver!(No symbol) [0x7ff7b43ca22b]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c8272]
	chromedriver!(No symbol) [0x7ff7b43e1866]
	chromedriver!(No symbol) [0x7ff7b44856c4]
	chromedriver!(No symbol) [0x7ff7b446005a]
	chromedriver!(No symbol) [0x7ff7b448486f]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",4035,,,,,,,,,,
,https://www.carrefour.com.ar/galletitas-naranjitas-tia-maruca-250-g/p,,2664,Galletitas naranjitas Tía Maruca 250 g.,2200,2200,8800,1 K.,Ninguno,2026-05-28,Carrefour,,
exception,https://www.delimart.com.ar/jugo_de_naranja_con_pulpa_citric_1_lt,"Message: unknown error: net::ERR_CONNECTION_TIMED_OUT
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43da0e4]
	chromedriver!(No symbol) [0x7ff7b43ca4c1]
	chromedriver!(No symbol) [0x7ff7b43cc3af]
	chromedriver!(No symbol) [0x7ff7b43caa63]
	chromedriver!(No symbol) [0x7ff7b43ca22b]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c8272]
	chromedriver!(No symbol) [0x7ff7b43e1866]
	chromedriver!(No symbol) [0x7ff7b44856c4]
	chromedriver!(No symbol) [0x7ff7b446005a]
	chromedriver!(No symbol) [0x7ff7b448486f]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",4086,,,,,,,,,,
exception,https://www.delimart.com.ar/fideos_tallarin_la_campagnola_500_gr,"Message: unknown error: net::ERR_CONNECTION_TIMED_OUT
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43da0e4]
	chromedriver!(No symbol) [0x7ff7b43ca4c1]
	chromedriver!(No symbol) [0x7ff7b43cc3af]
	chromedriver!(No symbol) [0x7ff7b43caa63]
	chromedriver!(No symbol) [0x7ff7b43ca22b]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c8272]
	chromedriver!(No symbol) [0x7ff7b43e1866]
	chromedriver!(No symbol) [0x7ff7b44856c4]
	chromedriver!(No symbol) [0x7ff7b446005a]
	chromedriver!(No symbol) [0x7ff7b448486f]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",3878,,,,,,,,,,
,https://diaonline.supermercadosdia.com.ar/fiambre-de-cerdo-66-150-gr-80908/p,,2540,Fiambre de Cerdo 66 150 Gr.,2490.0,2490.0,,,,,Dia,Fiambre de Cerdo 66 150 Gr.,2026-05-28 15:24:12
,https://www.carrefour.com.ar/jabon-espuma-carrefour-soft-de-limon-y-verbena-250-ml-753767/p,,3352,Jabón espuma Carrefour Soft de limón y verbena 250 ml,3590,3374.60,13498.40,1 L.,Ninguno,2026-05-28,Carrefour,,
,https://depotexpress.com.ar/productos/bebidas-s-alcohol/gaseosas/gas-pdt-ton-1-5x/,,3537,GAS PDT TON 1.5X,2449.96,2449.96,0,,Ninguno,2026-05-28,Depot,,
