supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,error_type,titulo,fecha
Dia,Aperitivo Americano Gancia 950 ml.,Aperitivo Americano Gancia 950 ml.,7990.0,9850.0,,,,https://diaonline.supermercadosdia.com.ar/aperitivo-americano-gancia-950-ml-14830/p,2026-05-28 15:55:16,2471,,,
,,,,,,,,https://www.delimart.com.ar/mortadela_feteado_x250g_piamontesa_envasado_al_vacio,,4277,exception,"Message: timeout: Timed out receiving message from renderer: -0.004
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43ca1f9]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c844f]
	chromedriver!(No symbol) [0x7ff7b43d796a]
	chromedriver!(No symbol) [0x7ff7b43ee817]
	chromedriver!(No symbol) [0x7ff7b43f66aa]
	chromedriver!(No symbol) [0x7ff7b43c8c11]
	chromedriver!(No symbol) [0x7ff7b43ee543]
	chromedriver!(No symbol) [0x7ff7b4484737]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",
,,,,,,,,https://www.delimart.com.ar/alimento_para_perros_adultos_raza_pequenas_infinity_8_kg,,4402,exception,"Message: unknown error: net::ERR_CONNECTION_TIMED_OUT
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43da0e4]
	chromedriver!(No symbol) [0x7ff7b43ca4c1]
	chromedriver!(No symbol) [0x7ff7b43cc3af]
	chromedriver!(No symbol) [0x7ff7b43caa63]
	chromedriver!(No symbol) [0x7ff7b43ca22b]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c8272]
	chromedriver!(No symbol) [0x7ff7b43e1866]
	chromedriver!(No symbol) [0x7ff7b44856c4]
	chromedriver!(No symbol) [0x7ff7b446005a]
	chromedriver!(No symbol) [0x7ff7b448486f]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",
Carrefour,,Alimento húmedo para perro Pedigree 100 g. adultos carne,1299,1299,0,,Ninguno,https://www.carrefour.com.ar/alimento-humedo-para-perro-pedigree-100-g-adultos-carne-597820/p,,3435,,,2026-05-28
Dia,Papas Fritas Sabor Original Pringles 104 Gr.,Papas Fritas Sabor Original Pringles 104 Gr.,5339.0,5650.0,,,,https://diaonline.supermercadosdia.com.ar/papas-fritas-sabor-original-pringles-104-gr-26384/p,2026-05-28 15:55:37,2388,,,
,,,,,,,,https://www.delimart.com.ar/costilla_don_juan_-_envasado_al_vacio_-_el_kilo_a,,4253,exception,"Message: timeout: Timed out receiving message from renderer: -0.002
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43ca1f9]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c844f]
	chromedriver!(No symbol) [0x7ff7b43d796a]
	chromedriver!(No symbol) [0x7ff7b43ee817]
	chromedriver!(No symbol) [0x7ff7b43f66aa]
	chromedriver!(No symbol) [0x7ff7b43c8c11]
	chromedriver!(No symbol) [0x7ff7b43ee543]
	chromedriver!(No symbol) [0x7ff7b4484737]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",
,,,,,,,,https://www.delimart.com.ar/gaseosa_secco_pomelo_blanco_3_lt,,4053,exception,"Message: timeout: Timed out receiving message from renderer: -0.006
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43ca1f9]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c844f]
	chromedriver!(No symbol) [0x7ff7b43d796a]
	chromedriver!(No symbol) [0x7ff7b43ee817]
	chromedriver!(No symbol) [0x7ff7b43f66aa]
	chromedriver!(No symbol) [0x7ff7b43c8c11]
	chromedriver!(No symbol) [0x7ff7b43ee543]
	chromedriver!(No symbol) [0x7ff7b4484737]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",
,,,,,,,,https://depotexpress.com.ar/productos/bebidas-s-alcohol/gaseosas/gas-pepsi-pet-500x/,,3533,exception,"Message: timeout: Timed out receiving message from renderer: 6.348
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43ca1f9]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c844f]
	chromedriver!(No symbol) [0x7ff7b43d796a]
	chromedriver!(No symbol) [0x7ff7b43ee817]
	chromedriver!(No symbol) [0x7ff7b43f66aa]
	chromedriver!(No symbol) [0x7ff7b43c8c11]
	chromedriver!(No symbol) [0x7ff7b43ee543]
	chromedriver!(No symbol) [0x7ff7b4484c15]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",
Carrefour,,Harina leudante Pureza con vitamina D 1 kg.,0,0,1800,1 K.,Ninguno,https://www.carrefour.com.ar/harina-leudante-pureza-con-vitamina-d-1-kg-694963/p,,2843,,,2026-05-28
Depot,,GALLETITAS DULC T.LINCOLN TRAD 153X,1352.70,1352.70,0,,Ninguno,https://depotexpress.com.ar/productos/desayuno/gald-t-lincoln-trad-153x/,,3444,,,2026-05-28
Dia,Always Xtra Doble Protección Seca Toallas Femeninas 8 Ud.,Always Xtra Doble Protección Seca Toallas Femeninas 8 Ud.,1962.5,3925.0,,,,https://diaonline.supermercadosdia.com.ar/always-xtra-doble-proteccion-seca-toallas-femeninas-8-ud-295704/p,2026-05-28 15:56:47,2609,,,
Carrefour,,Alimento a base de queso rallado La quesera 100 g.,0,0,21990,1 K.,Ninguno,https://www.carrefour.com.ar/alimento-a-base-de-queso-rallado-la-quesera-100-g-664368/p,,2927,,,2026-05-28
Carrefour,,"Gaseosa pomelo Cunnignton suave sin tacc 2,25 lts",2659,2659,1181.78,1 L.,Ninguno,https://www.carrefour.com.ar/gaseosa-pomelo-cunnignton-suave-sin-tacc-225-lts-723486/p,,3064,,,2026-05-28
,,,,,,,,https://www.delimart.com.ar/yerba_mate_compuesta_verdeflor_con_cedron_x_500_gr,,4207,exception,"Message: timeout: Timed out receiving message from renderer: -0.007
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43ca1f9]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c844f]
	chromedriver!(No symbol) [0x7ff7b43d796a]
	chromedriver!(No symbol) [0x7ff7b43ee817]
	chromedriver!(No symbol) [0x7ff7b43f66aa]
	chromedriver!(No symbol) [0x7ff7b43c8c11]
	chromedriver!(No symbol) [0x7ff7b43ee543]
	chromedriver!(No symbol) [0x7ff7b4484737]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",
,,,,,,,,https://www.carrefour.com.ar/rollo-de-cocina-carrefour-essential-3-x-50-panos/p,,3407,no_name,Carrefour - Las mejores ofertas en supermercados,
Dia,Cerveza Andes Rubia en lata 473 Ml.,Cerveza Andes Rubia en lata 473 Ml.,2135.0,3050.0,,,,https://diaonline.supermercadosdia.com.ar/cerveza-andes-rubia-en-lata-473-ml-257349/p,2026-05-28 15:57:17,2396,,,
,,,,,,,,https://www.delimart.com.ar/harina_leudante_pureza_ultra_ref_1_kg,,3855,exception,"Message: unknown error: net::ERR_CONNECTION_TIMED_OUT
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43da0e4]
	chromedriver!(No symbol) [0x7ff7b43ca4c1]
	chromedriver!(No symbol) [0x7ff7b43cc3af]
	chromedriver!(No symbol) [0x7ff7b43caa63]
	chromedriver!(No symbol) [0x7ff7b43ca22b]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c8272]
	chromedriver!(No symbol) [0x7ff7b43e1866]
	chromedriver!(No symbol) [0x7ff7b44856c4]
	chromedriver!(No symbol) [0x7ff7b446005a]
	chromedriver!(No symbol) [0x7ff7b448486f]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",
Carrefour,,Queso crema Tonadita cremette 290 g.,3199,3199,11031.03,1 K.,Ninguno,https://www.carrefour.com.ar/queso-crema-tonadita-cremette-290-g-712288/p,,2909,,,2026-05-28
Carrefour,,Pasta dental Colgate Natural Herbal Protect 90 grs,3349,3349,37211.11,1 K.,Ninguno,https://www.carrefour.com.ar/pasta-dental-colgate-natural-herbal-protect-90-grs-754971/p,,3340,,,2026-05-28
Carrefour,,Galletitas dulces Anillitos Terrabusi 170 g.,1809,1809,10641.18,1 K.,Ninguno,https://www.carrefour.com.ar/galletitas-dulces-anillos-terrabusi-170-g-680264/p,,2686,,,2026-05-28
Dia,Manzana Verde x Kg.,Manzana Verde x Kg.,5990.0,5990.0,,,,https://diaonline.supermercadosdia.com.ar/manzana-verde-x-kg-90112/p,2026-05-28 15:57:33,2550,,,
,,,,,,,,https://depotexpress.com.ar/productos/tocador-y-cosmtica/jabe-veritas-glic-fresc-tot-3x120x/,,3692,exception,"Message: timeout: Timed out receiving message from renderer: 6.402
  (Session info: chrome=148.0.7778.181)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7b4677de5+14895]
	chromedriver!GetHandleVerifier [0x7ff7b4677e50+14900]
	chromedriver!(No symbol) [0x7ff7b43dd5ad]
	chromedriver!(No symbol) [0x7ff7b43ca1f9]
	chromedriver!(No symbol) [0x7ff7b43c9ee1]
	chromedriver!(No symbol) [0x7ff7b43c7b11]
	chromedriver!(No symbol) [0x7ff7b43c844f]
	chromedriver!(No symbol) [0x7ff7b43d796a]
	chromedriver!(No symbol) [0x7ff7b43ee817]
	chromedriver!(No symbol) [0x7ff7b43f66aa]
	chromedriver!(No symbol) [0x7ff7b43c8c11]
	chromedriver!(No symbol) [0x7ff7b43ee543]
	chromedriver!(No symbol) [0x7ff7b4484c15]
	chromedriver!(No symbol) [0x7ff7b4429df8]
	chromedriver!(No symbol) [0x7ff7b442ace3]
	chromedriver!GetHandleVerifier [0x7ff7b498cc49+3296f9]
	chromedriver!GetHandleVerifier [0x7ff7b4987375+323e25]
	chromedriver!GetHandleVerifier [0x7ff7b49abc82+348732]
	chromedriver!GetHandleVerifier [0x7ff7b4696045+32af5]
	chromedriver!GetHandleVerifier [0x7ff7b469ecec+3b79c]
	chromedriver!GetHandleVerifier [0x7ff7b4681bc4+1e674]
	chromedriver!GetHandleVerifier [0x7ff7b4681d54+1e804]
	chromedriver!GetHandleVerifier [0x7ff7b46660e7+2b97]
	KERNEL32!BaseThreadInitThunk [0x7ff8e57fe957+17]
	ntdll!RtlUserThreadStart [0x7ff8e5de427c+2c]
",
