supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,error_type,fecha,titulo
Dia,Pan Mignon X 1 Ud.,Pan Mignon X 1 Ud.,120.0,120.0,,,,https://diaonline.supermercadosdia.com.ar/pan-mignon-x-1-ud-259356/p,2026-06-10 17:32:28,2203,,,
Dia,Pan Flauta X 1 Ud.,Pan Flauta X 1 Ud.,570.0,570.0,,,,https://diaonline.supermercadosdia.com.ar/pan-flauta-x-1-ud-259352/p,2026-06-10 17:32:29,2204,,,
Dia,Galletitas Dulces Variedad Terrabusi Mix Tamaño Familiar 590 Gr.,Galletitas Dulces Variedad Terrabusi Mix Tamaño Familiar 590 Gr.,4889.0,4889.0,,,2do al 70%,https://diaonline.supermercadosdia.com.ar/galletitas-dulces-variedad-terrabusi-mix-tamano-familiar-590-gr-284655/p,2026-06-10 17:32:31,2205,,,
Dia,Galletitas Pepitos Con Chips De Chocolate 119 Gr.,Galletitas Pepitos Con Chips De Chocolate 119 Gr.,2150.0,2150.0,,,2do al 70%,https://diaonline.supermercadosdia.com.ar/galletitas-pepitos-con-chips-de-chocolate-119-gr-271628/p,2026-06-10 17:32:32,2206,,,
Dia,Galletitas Dulces Melba Rellenas Con Crema 120 Gr.,Galletitas Dulces Melba Rellenas Con Crema 120 Gr.,1450.0,1450.0,,,2do al 70%,https://diaonline.supermercadosdia.com.ar/galletitas-dulces-melba-rellenas-con-crema-120-gr-73264/p,2026-06-10 17:32:34,2207,,,
Dia,Galletitas Chocolate Chocolinas 250 Gr.,Galletitas Chocolate Chocolinas 250 Gr.,1765.0,2420.0,,,,https://diaonline.supermercadosdia.com.ar/galletitas-chocolate-chocolinas-250-gr-47932/p,2026-06-10 17:32:35,2208,,,
Dia,Galletitas Surtidas Bagley 400 Gr.,Galletitas Surtidas Bagley 400 Gr.,3489.0,3489.0,,,,https://diaonline.supermercadosdia.com.ar/galletitas-surtidas-bagley-400-gr-271962/p,2026-06-10 17:32:38,2210,,,
Dia,Galletas Dulces Amor 110 Gr.,Galletas Dulces Amor 110 Gr.,1565.0,1565.0,,,,https://diaonline.supermercadosdia.com.ar/galletas-dulces-amor-110-gr-304730/p,2026-06-10 17:32:38,2209,,,
Dia,Galletitas De Agua x 5 Traviata 540 Gr.,Galletitas De Agua x 5 Traviata 540 Gr.,2900.0,2900.0,,,,https://diaonline.supermercadosdia.com.ar/galletitas-de-agua-x-5-traviata-540-gr-287902/p,2026-06-10 17:32:42,2211,,,
Dia,Galletitas Crackers La Providencia 505 Gr.,Galletitas Crackers La Providencia 505 Gr.,1689.0,1689.0,,,,https://diaonline.supermercadosdia.com.ar/galletitas-crackers-la-providencia-505-gr-299850/p,2026-06-10 17:32:42,2212,,,
Dia,Galletitas Crackers Dia 303 Gr.,Galletitas Crackers Dia 303 Gr.,1690.0,1690.0,,,,https://diaonline.supermercadosdia.com.ar/galletitas-crackers-dia-303-gr-299065/p,2026-06-10 17:32:46,2214,,,
Dia,Galletitas Crackers Sandwich Traviata 324 Gr.,Galletitas Crackers Sandwich Traviata 324 Gr.,2075.0,2075.0,,,,https://diaonline.supermercadosdia.com.ar/galletitas-crackers-sandwich-traviata-324-gr-134643/p,2026-06-10 17:32:46,2213,,,
Dia,Criollitas 499 Gr.,Criollitas 499 Gr.,2940.0,2940.0,,,,https://diaonline.supermercadosdia.com.ar/criollitas-499-gr-271278/p,2026-06-10 17:32:50,2215,,,
Dia,Galletitas Crackers Mediatarde 315 Gr.,Galletitas Crackers Mediatarde 315 Gr.,1629.0,1629.0,,,,https://diaonline.supermercadosdia.com.ar/galletitas-crackers-mediatarde-315-gr-285041/p,2026-06-10 17:32:50,2216,,,
Dia,Harina 000 Cañuelas Ultra Refinada 1 Kg.,Harina 000 Cañuelas Ultra Refinada 1 Kg.,1025.0,1025.0,,,,https://diaonline.supermercadosdia.com.ar/harina-000-canuelas-ultra-refinada-1-kg-273445/p,2026-06-10 17:32:54,2217,,,
Dia,Harina De Trigo Fotivac Morixe 000 1 Kg.,Harina De Trigo Fotivac Morixe 000 1 Kg.,999.0,999.0,,,,https://diaonline.supermercadosdia.com.ar/harina-de-trigo-fotivac-morixe-000-1-kg-283565/p,2026-06-10 17:32:54,2218,,,
Dia,Harina 000 con Vitaminas Favorita 1 Kg.,Harina 000 con Vitaminas Favorita 1 Kg.,1107.0,1107.0,,,,https://diaonline.supermercadosdia.com.ar/harina-000-con-vitaminas-favorita-1-kg-300780/p,2026-06-10 17:32:57,2220,,,
Dia,Harina De Trigo 000 Chacabuco 1 Kg.,Harina De Trigo 000 Chacabuco 1 Kg.,1039.0,1039.0,,,,https://diaonline.supermercadosdia.com.ar/harina-de-trigo-000-chacabuco-1-kg-308189/p,2026-06-10 17:32:57,2219,,,
Dia,Harina Morixe para Arepas 1 Kg.,Harina Morixe para Arepas 1 Kg.,2735.0,3650.0,,,,https://diaonline.supermercadosdia.com.ar/harina-morixe-para-arepas-1-kg-265538/p,2026-06-10 17:33:00,2221,,,
Dia,Harina Leudante Vitamina D Pureza 1 Kg.,Harina Leudante Vitamina D Pureza 1 Kg.,1800.0,1800.0,,,,https://diaonline.supermercadosdia.com.ar/harina-leudante-vitamina-d-pureza-1-kg-57371/p,2026-06-10 17:33:01,2222,,,
Dia,Harina Leudante Morixe 1 Kg.,Harina Leudante Morixe 1 Kg.,1690.0,1690.0,,,,https://diaonline.supermercadosdia.com.ar/harina-leudante-morixe-1-kg-258551/p,2026-06-10 17:33:03,2223,,,
Dia,Harina Leudante Fortificada Blancaflor 1 Kg.,Harina Leudante Fortificada Blancaflor 1 Kg.,2132.0,2132.0,,,,https://diaonline.supermercadosdia.com.ar/harina-leudante-fortificada-blancaflor-1-kg-300778/p,2026-06-10 17:33:04,2224,,,
Dia,Polenta Instantánea Prestopronta 730 Gr.,Polenta Instantánea Prestopronta 730 Gr.,2299.0,2299.0,,,,https://diaonline.supermercadosdia.com.ar/polenta-instantanea-prestopronta-730-gr-285636/p,2026-06-10 17:33:07,2226,,,
Dia,Polenta Molinos Ala 500 Gr.,Polenta Molinos Ala 500 Gr.,850.0,1070.0,,,,https://diaonline.supermercadosdia.com.ar/polenta-molinos-ala-500-gr-307092/p,2026-06-10 17:33:08,2225,,,
Dia,Polenta Morixe 1 Kg.,Polenta Morixe 1 Kg.,1749.0,1749.0,,,,https://diaonline.supermercadosdia.com.ar/polenta-morixe-1-kg-274328/p,2026-06-10 17:33:10,2227,,,
Dia,Arroz Largo Fino Molinos Ala 500 Gr.,Arroz Largo Fino Molinos Ala 500 Gr.,895.0,1150.0,,,,https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-molinos-ala-500-gr-298635/p,2026-06-10 17:33:12,2228,,,
Dia,Arroz Largo Fino Luchetti 1 Kg.,Arroz Largo Fino Luchetti 1 Kg.,1960.0,1960.0,,,,https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-luchetti-1-kg-299671/p,2026-06-10 17:33:15,2230,,,
Dia,Arroz Parboil Seleccion Gallo 500 Gr.,Arroz Parboil Seleccion Gallo 500 Gr.,1435.0,1435.0,,,2do al 70%,https://diaonline.supermercadosdia.com.ar/arroz-parboil-seleccion-gallo-500-gr-300835/p,2026-06-10 17:33:15,2229,,,
Dia,Arroz Largo Fino Cañuelas 1 Kg.,Arroz Largo Fino Cañuelas 1 Kg.,1800.0,1800.0,,,,https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-canuelas-1-kg-296007/p,2026-06-10 17:33:18,2232,,,
Dia,Arroz Largo Fino Máximo 500 Gr.,Arroz Largo Fino Máximo 500 Gr.,905.0,905.0,,,,https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-maximo-500-gr-272633/p,2026-06-10 17:33:19,2231,,,
Dia,Fideos Spaghetti Marolio 500 Gr.,Fideos Spaghetti Marolio 500 Gr.,1055.0,1055.0,,,,https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-marolio-500-gr-309247/p,2026-06-10 17:33:22,2233,,,
Dia,Fideos Spaghetti N7 Luchetti 500 Gr.,Fideos Spaghetti N7 Luchetti 500 Gr.,1600.0,1600.0,,,,https://diaonline.supermercadosdia.com.ar/fideos-spaghetti-n7-luchetti-500-gr-40877/p,2026-06-10 17:33:23,2234,,,
Dia,Fideos Tallarín Favorita 500 Gr.,Fideos Tallarín Favorita 500 Gr.,999.0,999.0,,,,https://diaonline.supermercadosdia.com.ar/fideos-tallarin-favorita-500-gr-161603/p,2026-06-10 17:33:26,2236,,,
