supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,fecha,error_type,titulo
Dia,Gaseosa Cola Regular Pepsi 2 Lt.,Gaseosa Cola Regular Pepsi 2 Lt.,4400.0,4400.0,,,2do al 50%,https://diaonline.supermercadosdia.com.ar/gaseosa-cola-regular-pepsi-2-lt-115102/p,2026-06-12 12:52:14,2351,,,
Delimart,,Mayonesa Regular Hellmanns Dp 237 Gr,1292.42,1292.42,0,,Ninguno,https://www.delimart.com.ar/mayonesa_regular_hellmanns_dp_237_gr2,,3982,2026-06-12,,
Delimart,,Yerba Mate Playadito Sin Palo X 500 Gr,3936.02,3936.02,0,,Ninguno,https://www.delimart.com.ar/yerba_mate_playadito_sin_palo_x_500_gr2,,4221,2026-06-12,,
Delimart,,Mayonesa Clásica Hellmanns Dp 118 Gr,960.82,960.82,0,,Ninguno,https://www.delimart.com.ar/mayonesa_clasica_hellmanns_dp_118_gr,,3987,2026-06-12,,
,,Galletitas Gold Mundo anillos chocolate y vainilla 250 g.,,,,,,https://www.carrefour.com.ar/galletitas-gold-mundo-anillos-chocolate-y-vainilla-250-g-621326/p,,2801,,no_disponible,Galletitas Gold Mundo anillos chocolate y vainilla 250 g. - Carrefour
,,Fideos tallarines Marolio 500 g.,,,,,,https://www.carrefour.com.ar/fideos-tallarines-marolio-500-g-746925/p,,2862,,no_disponible,Fideos tallarines Marolio 500 g - Carrefour
Carrefour,,Caldo Knorr de gallina deshidratado 12 cubos.,2839,2839,24903.51,1 K.,Ninguno,https://www.carrefour.com.ar/caldo-knorr-de-gallina-deshidratado-12-cubos-737144/p,,3003,2026-06-12,,
,,,,,,,,https://www.delimart.com.ar/papas_fritas_lays_x_134_gr,,4092,,exception,"Message: timeout: Timed out receiving message from renderer: 13.889
  (Session info: chrome=149.0.7827.103)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7ce92fd95+15395]
	chromedriver!GetHandleVerifier [0x7ff7ce92fdf0+153f0]
	chromedriver!(No symbol) [0x7ff7ce4678fd]
	chromedriver!(No symbol) [0x7ff7ce454439]
	chromedriver!(No symbol) [0x7ff7ce454121]
	chromedriver!(No symbol) [0x7ff7ce451e0b]
	chromedriver!(No symbol) [0x7ff7ce45272f]
	chromedriver!(No symbol) [0x7ff7ce461dea]
	chromedriver!(No symbol) [0x7ff7ce478a27]
	chromedriver!(No symbol) [0x7ff7ce4808ca]
	chromedriver!(No symbol) [0x7ff7ce452ef1]
	chromedriver!(No symbol) [0x7ff7ce478755]
	chromedriver!(No symbol) [0x7ff7ce50ee69]
	chromedriver!(No symbol) [0x7ff7ce4b3a58]
	chromedriver!(No symbol) [0x7ff7ce4b4953]
	chromedriver!GetHandleVerifier [0x7ff7ceef5511+5dab11]
	chromedriver!GetHandleVerifier [0x7ff7ceeef8fb+5d4efb]
	chromedriver!GetHandleVerifier [0x7ff7cef13205+5f8805]
	chromedriver!GetHandleVerifier [0x7ff7ce94cc6e+3226e]
	chromedriver!GetHandleVerifier [0x7ff7ce95562c+3ac2c]
	chromedriver!GetHandleVerifier [0x7ff7ce939984+1ef84]
	chromedriver!GetHandleVerifier [0x7ff7ce939b14+1f114]
	chromedriver!GetHandleVerifier [0x7ff7ce91ca77+2077]
	KERNEL32!BaseThreadInitThunk [0x7ffd6194e957+17]
	ntdll!RtlUserThreadStart [0x7ffd62787c1c+2c]
"
,,,,,,,,https://www.delimart.com.ar/aceite_de_girasol_familia_vicentin_900_ml,,3881,,exception,"Message: timeout: Timed out receiving message from renderer: 13.874
  (Session info: chrome=149.0.7827.103)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7ce92fd95+15395]
	chromedriver!GetHandleVerifier [0x7ff7ce92fdf0+153f0]
	chromedriver!(No symbol) [0x7ff7ce4678fd]
	chromedriver!(No symbol) [0x7ff7ce454439]
	chromedriver!(No symbol) [0x7ff7ce454121]
	chromedriver!(No symbol) [0x7ff7ce451e0b]
	chromedriver!(No symbol) [0x7ff7ce45272f]
	chromedriver!(No symbol) [0x7ff7ce461dea]
	chromedriver!(No symbol) [0x7ff7ce478a27]
	chromedriver!(No symbol) [0x7ff7ce4808ca]
	chromedriver!(No symbol) [0x7ff7ce452ef1]
	chromedriver!(No symbol) [0x7ff7ce478755]
	chromedriver!(No symbol) [0x7ff7ce50ee69]
	chromedriver!(No symbol) [0x7ff7ce4b3a58]
	chromedriver!(No symbol) [0x7ff7ce4b4953]
	chromedriver!GetHandleVerifier [0x7ff7ceef5511+5dab11]
	chromedriver!GetHandleVerifier [0x7ff7ceeef8fb+5d4efb]
	chromedriver!GetHandleVerifier [0x7ff7cef13205+5f8805]
	chromedriver!GetHandleVerifier [0x7ff7ce94cc6e+3226e]
	chromedriver!GetHandleVerifier [0x7ff7ce95562c+3ac2c]
	chromedriver!GetHandleVerifier [0x7ff7ce939984+1ef84]
	chromedriver!GetHandleVerifier [0x7ff7ce939b14+1f114]
	chromedriver!GetHandleVerifier [0x7ff7ce91ca77+2077]
	KERNEL32!BaseThreadInitThunk [0x7ffd6194e957+17]
	ntdll!RtlUserThreadStart [0x7ffd62787c1c+2c]
"
Carrefour,,Limpiador Líquido Multisuperficies Glade Lavanda Fragancia Duradera para Pisos y Superficies 1760 ml,4749,4749,2698.30,1 L.,Ninguno,https://www.carrefour.com.ar/limpiador-liquido-multisuperficies-glade-lavanda-fragancia-duradera-para-pisos-y-superficies-1760-ml-750593/p,,3399,2026-06-12,,
Carrefour,,"Galletitas Oreo rellenas con crema sabor original 182,5 g.",3349,3349,18350.68,1 K.,Ninguno,https://www.carrefour.com.ar/galletitas-oreo-rellena-con-crema-sabor-original-1825-g-715950/p,,2764,2026-06-12,,
Dia,Suavizantes Para Ropa Vivere Explosion Floral Plancha Facil Doypack 810 Ml 307704,Suavizantes Para Ropa Vivere Explosion Floral Plancha Facil Doypack 810 Ml 307704,0.0,0.0,,,,https://diaonline.supermercadosdia.com.ar/suavizantes-para-ropa-vivere-explosion-floral-plancha-facil-doypack-810-ml-307704/p,2026-06-12 12:53:29,2626,,,
Dia,Vino Tinto Estancia Mendoza Malbec 750 ml.,Vino Tinto Estancia Mendoza Malbec 750 ml.,4100.0,4100.0,,,,https://diaonline.supermercadosdia.com.ar/vino-tinto-estancia-mendoza-malbec-750-ml-117701/p,2026-06-12 12:53:32,2419,,,
,,Choclo en granos Arcor amarillo lata 300 g.,,,,,,https://www.carrefour.com.ar/choclo-en-granos-arcor-amarillo-lata-300-g-699528-699528/p,,3286,,no_disponible,Carrefour
Delimart,,Rollo De Cocina Elegante Premium 3 rollos x 100 Paños,4886.94,4886.94,0,,Ninguno,https://www.delimart.com.ar/rollo_de_cocina_elegante_premium_3_rollos_x_100_panos,,4388,2026-06-12,,
