supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,fecha
Dia,Mayonesa Clásica Hellmanns Sin Tacc Doypack 475 Gr.,Mayonesa Clásica Hellmanns Sin Tacc Doypack 475 Gr.,2889.0,2889.0,,,,https://diaonline.supermercadosdia.com.ar/mayonesa-clasica-hellmanns-sin-tacc-doypack-475-gr-283568/p,2026-06-13 12:20:49,2299,
Dia,Huevo Blanco Grande 12 Ud.,Huevo Blanco Grande 12 Ud.,4190.0,4190.0,,,,https://diaonline.supermercadosdia.com.ar/huevo-blanco-grande-12-ud-48133/p,2026-06-13 12:20:52,2281,
Dia,"Jugo Cepita Del Valle Naranja Tentación 1,5 Lt.","Jugo Cepita Del Valle Naranja Tentación 1,5 Lt.",2950.0,2950.0,,,,https://diaonline.supermercadosdia.com.ar/jugo-cepita-del-valle-naranja-tentacion-15-lt-132339/p,2026-06-13 12:20:56,2373,
Dia,Alimento Seco para Perros Purina One Adultos Minis y Pequeños Pollo y Carne 2 Kg.,Alimento Seco para Perros Purina One Adultos Minis y Pequeños Pollo y Carne 2 Kg.,15366.0,15366.0,,,,https://diaonline.supermercadosdia.com.ar/alimento-seco-para-perros-purina-one-adultos-minis-y-pequenos-pollo-y-carne-2-kg-277849/p,2026-06-13 12:21:00,2646,
Dia,Galletitas Dulces Variedad Terrabusi Mix Tamaño Familiar 590 Gr.,Galletitas Dulces Variedad Terrabusi Mix Tamaño Familiar 590 Gr.,4889.0,4889.0,,,,https://diaonline.supermercadosdia.com.ar/galletitas-dulces-variedad-terrabusi-mix-tamano-familiar-590-gr-284655/p,2026-06-13 12:21:04,2205,
Carrefour,,Galletitas crackers Criollitas más grandes x3 507 grs,3105,3105,6124.26,1 K.,Ninguno,https://www.carrefour.com.ar/galletitas-crackers-criollitas-mas-grandes-x3-507-grs-441448/p,,2811,2026-06-13
Carrefour,,Alcohol etílico Carrefour Soft 1 lt,4401,4890,4401,1 L.,Ninguno,https://www.carrefour.com.ar/alcohol-etilico-carrefour-soft-1-lt-336874/p,,3412,2026-06-13
Carrefour,,Galletitas vainilla rellenas frutilla Maná 152 g.,1669,1669,10980.26,1 K.,Ninguno,https://www.carrefour.com.ar/galletitas-vainilla-rellenas-frutilla-mana-152-g-675040/p,,2711,2026-06-13
Carrefour,,Galletitas pepas 9 de Oro 500 g.,4229,4229,8458,1 K.,Ninguno,https://www.carrefour.com.ar/galletitas-pepas-9-de-oro-500-g-724194/p,,2767,2026-06-13
Carrefour,,"Suavizante Downy Brisa Intenso, Rinde 4L, Perfume Intenso de Larga Duración 1L",10015.85,15409,10015.85,1 L.,40% off tarjeta crf crdito | 40% off cuenta digital | 35% off max 8 unidades,https://www.carrefour.com.ar/suavizante-downy-brisa-intenso-rinde-4-l-perfume-intenso-de-larga-duracion-1-l-727933/p,,3389,2026-06-13
Delimart,,Galletitas Pepas Aires de Lujan x 180gr,738.82,869.20,0,,Ninguno,https://www.delimart.com.ar/galletitas_pepas_aires_de_lujan_x_180gr,,3769,2026-06-13
Delimart,,Edulcorante Clasico Forte Hileret 250 ML,2642.75,2642.75,0,,Ninguno,https://www.delimart.com.ar/edulcorante_clasico_forte_hileret_250_ml,,3973,2026-06-13
Delimart,,Jabon Rexona Glicerina Citrus x 90 grs,1659.91,1659.91,0,,Ninguno,https://www.delimart.com.ar/jabon_rexona_glicerina_citrus_x_90_grs,,4307,2026-06-13
Delimart,,Mermelada Naranja La Campagnola 454 Gr,4687.33,4687.33,0,,Ninguno,https://www.delimart.com.ar/mermelada_naranja_la_campagnola_454_gr,,4034,2026-06-13
Delimart,,Galletitas De Agua Traviata x 3 324 Gr,1837.26,1837.26,0,,Ninguno,https://www.delimart.com.ar/galletitas_de_agua_traviata_x_3_324_gr,,3843,2026-06-13
Depot,,VODK SKYY 750X,8450.21,8450.21,0,,Ninguno,https://depotexpress.com.ar/productos/bebidas-c-alcohol/blancas-y-licores/vodka-skyy-x-750-ml/,,3635,2026-06-13
Depot,,VINF E.GASCON MALBEC 750X,9900.00,9900.00,0,,Ninguno,https://depotexpress.com.ar/productos/bebidas-c-alcohol/vinos-selectos/vino-esc-gascon-malb-x-750/,,3626,2026-06-13
Depot,,APER CAMPARI 450X,6479.71,6479.71,0,,Ninguno,https://depotexpress.com.ar/productos/bebidas-c-alcohol/aperitivos/aper-campari-450x/,,3643,2026-06-13
Depot,,DESA REXONA WM BAMBOO 150X,2310.50,2310.50,0,,Ninguno,https://depotexpress.com.ar/productos/tocador-y-cosmtica/desa-rex-wm-bam-89x/,,3710,2026-06-13
Depot,,TE LA VIRG COM MOL CONT 25X,882.27,882.27,0,,Ninguno,https://depotexpress.com.ar/productos/desayuno/te-la-virg-com-mol-cont-25x/,,3678,2026-06-13
