nombre,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,url,id_link_producto,error_type,titulo,producto_nombre,fecha_extraccion
Mani Pelado Pehuamar 75 gr,2071.43,2071.43,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/mani_pelado_pehuamar_75_gr,4108,,,,
Mani Pelado Pehuamar 135 gr,3314.29,3314.29,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/mani_pelado_pehuamar_135_gr,4109,,,,
Galletitas Aires de Lujan X180Gr chocolate,871.15,740.48,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_aires_de_lujan_x180gr_chocolate,3767,,,,
Galletitas Rellena Polvorita Lia Vainilla X 80 Gr,677.99,677.99,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_rellena_polvorita_lia_vainilla_x_80_gr,3768,,,,
Galletitas Pepas Aires de Lujan x 180gr,869.20,738.82,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_pepas_aires_de_lujan_x_180gr,3769,,,,
Galletita Pepa Trio x 200 G,1059.05,1059.05,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletita_pepa_trio_x_200_g,3770,,,,
Galletitas Melba Terrabusi 120 G,1691.66,1691.66,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_melba_terrabusi_120_g,3771,,,,
Galletitas Chocolate Chocolinas 100 Gr,1223.06,1223.06,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_chocolate_chocolinas_100_gr,3772,,,,
GALLETITAS RELLENAS DELICIAS DE LA NONNA X160G VAINILLA,1040.13,1040.13,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_rellenas_delicias_de_la_nonna_x160g_vainilla,3773,,,,
Galletitas rellenas Delicias de la Nonna x160g Frutilla,1040.13,1040.13,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_rellenas_delicias_de_la_nonna_x160g_frutilla,3774,,,,
Galletita Mana Acaramelada x145 gr,1336.11,1336.11,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletita_mana_acaramelada_x145_gr,3775,,,,
Galletitas Polvoritas Vainilla x 152 gr,1067.16,1067.16,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_polvoritas_vainilla_x_152_gr,3776,,,,
Galletitas Clasicas Mini Oreo 50 Gr,1186.19,1186.19,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_clasicas_mini_oreo_50_gr2,3777,,,,
Galletitas Cofler Vainilla Rellenas de Chocolate 85 Gr,1311.18,1311.18,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_cofler_vainilla_rellenas_de_chocolate_85_gr,3778,,,,
Galletitas Macucas Chocolates x 110 Gr,1120.20,1120.20,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_macucas_chocolates__x_110_gr,3779,,,,
Galletitas Cofler Rellenas Choco Creamy 85 Gr,1068.89,1068.89,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_cofler_rellenas_choco_creamy_85_gr,3780,,,,
Triangulitos de Hojaldre Azucarado Mafalda x150g,1503.98,1503.98,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/triangulitos_de_hojaldre_azucarado_mafalda_x150g2,3781,,,,
Galletita Mana de Chocolate 136 G,1233.33,1233.33,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletita_mana_de_chocolate_136_g,3782,,,,
Galletita C/Chips de Chocolate Tubo Fantoche x 155gr,1172.65,1172.65,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletita_cchips_de_chocolate_tubo_fantoche_x_155gr,3783,,,,
Galletitas Cofler Rellenas Bon o Bon 85 Gr,1211.41,1211.41,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_cofler_rellenas_bon_o_bon_85_gr,3784,,,,
Bizcochos 9 De Oro Cara Sucia 200 Gr,1558.66,1558.66,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/bizcochos_9_de_oro_cara_sucia_200_gr,3785,,,,
Galletitas Pepas Recetas de la Abuela Arcor x 183 Gr,1541.66,1541.66,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_pepas_recetas_de_la_abuela_arcor_x_183_gr,3786,,,,
Galletitas Vainilla con Chocolate Formis 102 Gr,1438.90,1438.90,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_vainilla_con_chocolate_formis_102_gr,3787,,,,
Galletitas Rellena Amor 110 Gr,1541.66,1541.66,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_rellena_amor_110_gr,3788,,,,
Galletitas Dulces Porteñitas 139g,1438.90,1438.90,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_dulces_portenitas_139g,3789,,,,
Galletitas Dulce con Miel Melitas 159 Gr,1438.90,1438.90,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_dulce_con_miel_melitas_159_gr,3790,,,,
Galletitas Frutilla Merengadas 88 Gr,1494.26,1494.26,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_frutilla_merengadas_88_gr,3791,,,,
Galletitas Granovita Granix sabor Coco 140 gr,1501.20,1501.20,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_granovita_granix_sabor_coco_140_gr,3792,,,,
Galletita Polvorita Chocolate/vainilla 152 grs,1321.98,1321.98,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletita_polvorita_chocolatevainilla_152_grs,3793,,,,
Galletitas Chocolate Rumba Original 110 Gr,1644.44,1644.44,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_chocolate_rumba_original_110_gr,3794,,,,
Galletitas Dulces Rellenas Sabor Frambuesa Sonrisas x 108 Gr,1545.78,1545.78,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_dulces_rellenas_sabor_frambuesa_sonrisas_x_108_gr,3795,,,,
Galletitas Trio Tartelette Frutilla x 300gr,1930.47,1930.47,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_trio_tartelette_frutilla_x_300gr,3796,,,,
Galletita de Chocolate Mini Polvorita 152 Gr,1144.09,1144.09,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletita_de_chocolate__mini_polvorita_152_gr,3797,,,,
Galletitas Duquesa 120gr,1452.04,1452.04,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_duquesa_120gr2,3798,,,,
Galletita Brigitte Chocolate y Limon 9 de Oro 120 Gr,1451.95,1451.95,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletita_brigitte_chocolate_y_limon_9_de_oro_120_gr,3799,,,,
Galletitas Pepitos Con Chispas de Cadbury 119 Gr,2023.85,2023.85,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_pepitos_con_chispas_de_cadbury__119_gr,3800,,,,
Galletitas Boca De Dama Terrabusi 170 G,1651.43,1651.43,0,,Ninguno,2026-06-13,Delimart,https://www.delimart.com.ar/galletitas_boca_de_dama_terrabusi_170_g,3801,,,,
