error_type,url,nombre,titulo,id_link_producto,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,producto_nombre,fecha_extraccion
no_disponible,https://www.carrefour.com.ar/jugo-natural-biofrut-naranja-1-l/p,Jugo natural Biofrut naranja 1 l.,Carrefour,3098,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/sal-fina-dos-estrellas-500-g/p,Sal fina Dos Estrellas 500 g.,Carrefour,2977,,,,,,,,,
no_disponible,https://www.carrefour.com.ar/harina-de-trigo-000-ultra-refinada-canuelas-1-kg/p,Harina de trigo 000 ultra refinada Cañuelas 1 kg.,Harina de trigo 000 ultra refinada Cañuelas - Carrefour,2835,,,,,,,,,
,https://www.delimart.com.ar/acondicionador_plusbelle_1lt_hidratacion_nutritiva,Acondicionador Plusbelle 1lt Hidratacion Nutritiva,,4327,5734.80,5734.80,0,,Ninguno,2026-06-13,Delimart,,
,https://www.delimart.com.ar/rollo_de_cocina_elegante_premium_3_rollos_x_100_panos,Rollo De Cocina Elegante Premium 3 rollos x 100 Paños,,4388,4886.94,4886.94,0,,Ninguno,2026-06-13,Delimart,,
no_disponible,https://www.carrefour.com.ar/yogur-bebible-danonino-sabor-frutilla-900-grs-747999/p,Yogur bebible Danonino sabor frutilla 900 grs,Carrefour,2932,,,,,,,,,
,https://www.delimart.com.ar/limpiador_aromatizante_desinfectante_poett_flores_de_primavera_x_4_lt,Limpiador Aromatizante Desinfectante Poett Flores De Primavera x 4 lt,,4377,8774.87,8774.87,0,,Ninguno,2026-06-13,Delimart,,
no_disponible,https://www.carrefour.com.ar/galletitas-dulces-carrefour-classic-con-chips-de-chocolate-357-grs-754015/p,Galletitas dulces Carrefour Classic con chips de chocolate 357 grs,Galletitas dulces Carrefour Classic con chips de chocolat... - Carrefour,2772,,,,,,,,,
,https://www.delimart.com.ar/yogur_bebible_sabor_vainilla_cremigal_900_gr,Yogur Bebible Sabor Vainilla Cremigal 900 Gr,,3938,2174.05,1847.94,0,,Ninguno,2026-06-13,Delimart,,
,https://www.delimart.com.ar/limpiador_de_piso_esencial_lavanda_natural_900_ml,Limpiador De Piso Esencial Lavanda Natural 900 ML,,4382,1461.75,1461.75,0,,Ninguno,2026-06-13,Delimart,,
