supermercado,producto_nombre,nombre,precio_descuento,precio_normal,precio_por_unidad,unidad,descuentos,url,fecha_extraccion,id_link_producto,fecha,error_type,titulo
Dia,Galletitas Dulces Variedad Terrabusi Mix Tamaño Familiar 590 Gr.,Galletitas Dulces Variedad Terrabusi Mix Tamaño Familiar 590 Gr.,5300.0,5300.0,,,,https://diaonline.supermercadosdia.com.ar/galletitas-dulces-variedad-terrabusi-mix-tamano-familiar-590-gr-284655/p,2026-06-22 18:59:56,2205,,,
Delimart,,Vino Malbec Finca Las Moras 750 Cc,3684.55,4334.76,0,,Ninguno,https://www.delimart.com.ar/vino_malbec_finca_las_moras_750_cc2,,4136,2026-06-22,,
Delimart,,Protector Diario Doncella Anatomicos Con Perfume 20 Unid.,1275.58,1275.58,0,,Ninguno,https://www.delimart.com.ar/protector_diario_doncella_anatomicos_con_perfume_20_unid,,4350,2026-06-22,,
Delimart,,"Queso Cremoso Fraccionado La Paulina 1,100 g Aprox",13870.46,13870.46,0,,Ninguno,https://www.delimart.com.ar/queso_cremoso_fraccionado_la_paulina_1100_g_aprox,,3919,2026-06-22,,
,,,,,,,,https://depotexpress.com.ar/productos/bebidas-c-alcohol/cerveza/cerv-quilmes-stout-lat-473x/,,3575,,exception,"Message: timeout: Timed out receiving message from renderer: -0.005
  (Session info: chrome=149.0.7827.155)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff7f90f3fa5+14925]
	chromedriver!GetHandleVerifier [0x7ff7f90f4000+14980]
	chromedriver!(No symbol) [0x7ff7f8c3793d]
	chromedriver!(No symbol) [0x7ff7f8c24449]
	chromedriver!(No symbol) [0x7ff7f8c24131]
	chromedriver!(No symbol) [0x7ff7f8c21e01]
	chromedriver!(No symbol) [0x7ff7f8c2273f]
	chromedriver!(No symbol) [0x7ff7f8c31e1a]
	chromedriver!(No symbol) [0x7ff7f8c48a77]
	chromedriver!(No symbol) [0x7ff7f8c5093a]
	chromedriver!(No symbol) [0x7ff7f8c22f01]
	chromedriver!(No symbol) [0x7ff7f8c487a5]
	chromedriver!(No symbol) [0x7ff7f8cdf263]
	chromedriver!(No symbol) [0x7ff7f8c8401c]
	chromedriver!(No symbol) [0x7ff7f8c84f43]
	chromedriver!GetHandleVerifier [0x7ff7f96d7591+5f7f11]
	chromedriver!GetHandleVerifier [0x7ff7f96d1902+5f2282]
	chromedriver!GetHandleVerifier [0x7ff7f96f7115+617a95]
	chromedriver!GetHandleVerifier [0x7ff7f9111dce+3274e]
	chromedriver!GetHandleVerifier [0x7ff7f911a82c+3b1ac]
	chromedriver!GetHandleVerifier [0x7ff7f90fd744+1e0c4]
	chromedriver!GetHandleVerifier [0x7ff7f90fd8d4+1e254]
	chromedriver!GetHandleVerifier [0x7ff7f90e1447+1dc7]
	KERNEL32!BaseThreadInitThunk [0x7ffd6194e957+17]
	ntdll!RtlUserThreadStart [0x7ffd62787c1c+2c]
"
Dia,Cuadril en Porción Individual x Kg.,Cuadril en Porción Individual x Kg.,23400.0,23400.0,,,,https://diaonline.supermercadosdia.com.ar/cuadril-en-porcion-individual-x-kg-279540/p,2026-06-22 19:00:49,2524,,,
Delimart,,Galletitas Choco C/Vainilla Rumba 330 Gr,4440.00,4440.00,0,,Ninguno,https://www.delimart.com.ar/galletitas_choco_cvainilla_rumba_330_gr,,3829,2026-06-22,,
Carrefour,,Cerveza blanca Salta Cautiva 473 ml,2137.50,2850,6025.37,1 L.,Ninguno,https://www.carrefour.com.ar/cerveza-blanca-salta-cautiva-473-ml-682996/p,,3153,2026-06-22,,
Delimart,,Queso Cremoso Cremon Doble Crema La Serenisima 500 Gr,9313.94,9313.94,0,,Ninguno,https://www.delimart.com.ar/queso_cremoso_cremon_doble_crema_la_serenisima_500_gr,,3913,2026-06-22,,
Carrefour,,Suavizante Vivere plancha facil 900 ml,3149,3149,3498.89,1 L.,Ninguno,https://www.carrefour.com.ar/suavizante-vivere-plancha-facil-900-ml-769534/p,,3386,2026-06-22,,
