nombre,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,url,id_link_producto,producto_nombre,fecha_extraccion,error_type,titulo
Mermelada Arandanos BC 390 Gr,5069.91,5069.91,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/mermelada_arandanos_bc_390_gr,4043,,,,
Shampoo Dove Óleo Nutrición 400 Ml.,9499.0,6169.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/shampoo-dove-oleo-nutricion-400-ml-293966/p,2578,Shampoo Dove Óleo Nutrición 400 Ml.,2026-06-24 18:54:18,,
Gaseosa Mirinda Manzana 2.25 Lt,1933.63,1933.63,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/gaseosa_mirinda_manzana_225_lt,4048,,,,
Galletitas rellenas Bon o Bon Cofler 85 g.,1279,1279,15047.06,1 K.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/galletitas-rellenas-bon-o-bon-cofler-85-g-740382/p,2681,,,,
Toallitas Femeninas Kotex Esencial x 16 Unidades,4234.29,4234.29,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/toallitas_femeninas_kotex_esencial_x_16_unidades,4354,,,,
Gin Tanqueray 700 cc,38800,29100,41571.43,1 L.,25% off max 8 unidades,2026-06-24,Carrefour,https://www.carrefour.com.ar/gin-tanqueray-700-cc/p,3184,,,,
Huevo color Carnave cartón 6 u.,,,,,,,,https://www.carrefour.com.ar/huevo-color-carnave-carton-6-u/p,2961,,,no_disponible,Carrefour
Gin London Beefeater 700 Ml,39428.99,39428.99,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/gin_london__beefeater_700_ml,4162,,,,
Pasta Dental Kolynos Frescura 123 90 Gr.,2175.0,1630.0,,,,,Dia,https://diaonline.supermercadosdia.com.ar/pasta-dental-kolynos-frescura-123-90-gr-119554/p,2591,Pasta Dental Kolynos Frescura 123 90 Gr.,2026-06-24 18:56:26,,
ALPE PEDIG CACH SAN CREC 1.5X,6330.59,6330.59,0,,Ninguno,2026-06-24,Depot,https://depotexpress.com.ar/productos/alimentos-para-mascotas/alpe-pedig-cach-san-crec-1-5x/,3756,,,,
Suavizante Clásico Comfort para ropa dp 900 cc,,,,,,,,https://www.carrefour.com.ar/suavizante-clasico-comfort-para-ropa-dp-900-cc/p,3387,,,no_disponible,Carrefour
Whisky nacional Blenders americano 750 cc,,,,,,,,https://www.carrefour.com.ar/whisky-nacional-blenders-americano-750-cc/p,3205,,,no_disponible,Carrefour
Jabon Liquido Floral Rain Algabo 300 Ml,3469.86,3469.86,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/jabon_liquido_floral_rain_algabo_300_ml,4348,,,,
Zorro Evolution Diluible Fragancia Duradera 500 ml,9939,6460.35,12920.70,1 L.,35% off mi crf max 8 unidades,2026-06-24,Carrefour,https://www.carrefour.com.ar/zorro-evolution-diluible-fragancia-duradera-500-ml-763615/p,3382,,,,
Cacao en polvo Toddy original bolsa 180 g.,2265,2265,12583.33,1 K.,Ninguno,2026-06-24,Carrefour,https://www.carrefour.com.ar/cacao-en-polvo-toddy-original-bolsa-180-g-698978/p,3214,,,,
Yogur Bebible Entero De Frutilla Gran Compra 900 G,1798.81,1798.81,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/yogur_bebible_entero_de_frutilla_gran_compra_900_g,3940,,,,
Gin Bombay Sapphire 750 Cc,39262.28,39262.28,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/gin_bombay_sapphire_750_cc2,4160,,,,
Rollo De Cocina Elegante Premium 3 rollos x 100 Paños,4886.94,4886.94,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/rollo_de_cocina_elegante_premium_3_rollos_x_100_panos,4388,,,,
Yogur Bebible Entero Frutilla Ilolay 900 g,2267.76,2267.76,0,,Ninguno,2026-06-24,Delimart,https://www.delimart.com.ar/yogur_bebible_entero_frutilla_ilolay_900_g,3942,,,,
