"id_link_producto","id_categoria","id_supermercado","link","peso","unidad_medida","activo","ultimo_scrapeo_at","ultimo_estado","created_at","updated_at"
1,3,1,https://www.delimart.com.ar/galletitas_aires_de_lujan_x180gr_chocolate,0.180,KG,1,,,2026-01-07 12:44:18.000,2026-01-07 18:14:55.000
2,3,1,https://www.delimart.com.ar/galletitas_rellena_polvorita_lia_vainilla_x_80_gr,0.080,KG,1,,,2026-01-07 12:44:18.000,2026-01-07 18:14:55.000
3,3,1,https://www.delimart.com.ar/galletitas_pepas_aires_de_lujan_x_180gr,0.180,KG,1,,,2026-01-07 12:44:18.000,2026-01-07 18:14:55.000
4,3,1,https://www.delimart.com.ar/galletita_pepa_trio_x_200_g,0.200,KG,1,,,2026-01-07 12:44:18.000,2026-01-07 18:14:55.000
5,3,1,https://www.delimart.com.ar/galletitas_melba_terrabusi_120_g,0.120,KG,1,,,2026-01-07 12:44:18.000,2026-01-07 18:14:55.000
6,3,1,https://www.delimart.com.ar/galletitas_chocolate_chocolinas_100_gr,0.100,KG,1,,,2026-01-07 12:44:18.000,2026-01-07 18:14:55.000
7,3,1,https://www.delimart.com.ar/galletitas_rellenas_delicias_de_la_nonna_x160g_vainilla,0.160,KG,1,,,2026-01-07 12:44:19.000,2026-01-07 18:14:55.000
8,3,1,https://www.delimart.com.ar/galletitas_rellenas_delicias_de_la_nonna_x160g_frutilla,0.160,KG,1,,,2026-01-07 12:44:19.000,2026-01-07 18:14:55.000
9,3,1,https://www.delimart.com.ar/galletita_mana_acaramelada_x145_gr,0.145,KG,1,,,2026-01-07 12:44:19.000,2026-01-07 18:14:55.000
10,3,1,https://www.delimart.com.ar/galletitas_polvoritas_vainilla_x_152_gr,0.152,KG,1,,,2026-01-07 12:44:19.000,2026-01-07 18:14:56.000
11,3,1,https://www.delimart.com.ar/galletitas_clasicas_mini_oreo_50_gr2,0.050,KG,1,,,2026-01-07 12:44:19.000,2026-01-07 18:14:56.000
12,3,1,https://www.delimart.com.ar/galletitas_cofler_vainilla_rellenas_de_chocolate_85_gr,0.085,KG,1,,,2026-01-07 12:44:19.000,2026-01-07 18:14:56.000
13,3,1,https://www.delimart.com.ar/galletitas_macucas_chocolates__x_110_gr,0.110,KG,1,,,2026-01-07 12:44:19.000,2026-01-07 18:14:56.000
14,3,1,https://www.delimart.com.ar/galletitas_cofler_rellenas_choco_creamy_85_gr,0.085,KG,1,,,2026-01-07 12:44:19.000,2026-01-07 18:14:56.000
15,3,1,https://www.delimart.com.ar/triangulitos_de_hojaldre_azucarado_mafalda_x150g2,0.150,KG,1,,,2026-01-07 12:44:19.000,2026-01-07 18:14:56.000
16,3,1,https://www.delimart.com.ar/galletita_mana_de_chocolate_136_g,0.136,KG,1,,,2026-01-07 12:44:19.000,2026-01-07 18:14:56.000
17,3,1,https://www.delimart.com.ar/galletita_cchips_de_chocolate_tubo_fantoche_x_155gr,0.155,KG,1,,,2026-01-07 12:44:20.000,2026-01-07 18:14:56.000
18,3,1,https://www.delimart.com.ar/galletitas_cofler_rellenas_bon_o_bon_85_gr,0.085,KG,1,,,2026-01-07 12:44:20.000,2026-01-07 18:14:56.000
19,3,1,https://www.delimart.com.ar/bizcochos_9_de_oro_cara_sucia_200_gr,0.200,KG,1,,,2026-01-07 12:44:20.000,2026-01-07 18:14:56.000
20,3,1,https://www.delimart.com.ar/galletitas_pepas_recetas_de_la_abuela_arcor_x_183_gr,0.183,KG,1,,,2026-01-07 12:44:20.000,2026-01-07 18:14:57.000
21,3,1,https://www.delimart.com.ar/galletitas_vainilla_con_chocolate_formis_102_gr,0.102,KG,1,,,2026-01-07 12:44:20.000,2026-01-07 18:14:57.000
