url,supermercado,nombre,error_type,precio_normal
https://www.carrefour.com.ar/whisky-nacional-blenders-americano-750-cc/p,,Whisky nacional Blenders americano 750 cc,no_disponible,
https://www.carrefour.com.ar/galletitas-carrefour-classic-chocolate-relleno-crema-de-limon-291-g/p,,Galletitas Carrefour classic chocolate relleno crema de limón 291 g.,no_disponible,
https://www.carrefour.com.ar/carne-picada-swift-congelada-500-g-703600/p,,Carne picada Swift congelada 500 g.,no_disponible,
https://www.carrefour.com.ar/aceite-de-girasol-pureza-1500-cc/p,,Aceite de girasol Pureza 1500 cc.,no_disponible,
https://www.carrefour.com.ar/mortadela-calchaqui-piccola-300-g/p,,Mortadela Calchaqui piccola 300 g.,no_disponible,
https://www.carrefour.com.ar/harina-de-maiz-amarilla-albor-800-grs-211677/p,,Harina de maíz amarilla Albor 800 grs,no_disponible,
https://www.carrefour.com.ar/gaseosa-crush-lima-limon-2-25-lts-168638/p,,"Gaseosa Crush Lima-Limón 2,25 lts",no_disponible,
https://www.carrefour.com.ar/yogur-bebible-bulnez-sabor-frutilla-900-grs-754974/p,,Yogur bebible Bulnez sabor frutilla 900 grs,no_disponible,
https://www.carrefour.com.ar/galletitas-naranjitas-tia-maruca-250-g/p,,,404,
https://www.carrefour.com.ar/galletitas-dulce-anillitos-terrabusi-300-g-694961/p,,Galletitas dulces Anillitos Terrabusi 300 g.,no_disponible,
https://www.carrefour.com.ar/galletitas-frutigran-avena-y-chips-de-chocolate-255-g/p,,,404,
https://www.carrefour.com.ar/limon-caipirinha-x-kg-735432/p,,Limón caipirinha x kg.,no_disponible,
https://www.carrefour.com.ar/rollo-de-cocina-sussex-ultra-100-panos-3-uni-578816/p,,,no_name,
https://www.carrefour.com.ar/jugo-de-pomelo-exprimido-puro-sol-tetra-1-lt/p,,Jugo de pomelo exprimido Puro Sol tetra 1 lt.,no_disponible,
https://diaonline.supermercadosdia.com.ar/vodka-orloff-700-ml-181496/p,Dia,Vodka Orloff 700 Ml 181496,,0.0
https://www.carrefour.com.ar/galletitas-de-chocolate-bulnez-rellenas-6-uni-758857/p,,Galletitas de chocolates Bulnez rellenas 6 uni,no_disponible,
https://www.carrefour.com.ar/galletitas-dulce-variedad-terrabusi-144-g-715959/p,,Galletitas dulces Variedad Terrabusi 144 g.,no_disponible,
https://diaonline.supermercadosdia.com.ar/cacao-en-polvo-arcoa-360-gr-307613/p,Dia,Cacao En Polvo Arcoa 360 Gr 307613,,0.0
https://www.carrefour.com.ar/vodka-skyy-750-cc-555722/p,,Vodka Skyy 750 cc,no_disponible,
https://www.carrefour.com.ar/leche-en-polvo-franciscana-pouch-800-g-715359/p,,Leche en polvo Franciscana pouch 800 g.,no_disponible,
https://www.carrefour.com.ar/vino-tinto-malbec-cosecha-elegido-norton-750-cc-586173/p,,Vino tinto Malbec Cosecha Elegido Nortón 750 ml,no_disponible,
https://diaonline.supermercadosdia.com.ar/suavizantes-para-ropa-vivere-explosion-floral-plancha-facil-doypack-810-ml-307704/p,Dia,Suavizantes Para Ropa Vivere Explosion Floral Plancha Facil Doypack 810 Ml 307704,,0.0
https://www.carrefour.com.ar/galletitas-dulce-carrefour-classic-anillo-sabor-coco-300-grs-754968/p,,Galletitas dulces Carrefour Classic anillo sabor coco 300 grs,no_disponible,
https://www.carrefour.com.ar/soda-carrefour-classic-225-lts-735713/p,,"Soda Carrefour Classic 2,25 lts",no_disponible,
https://www.carrefour.com.ar/vino-tinto-malbec-marcus-750-cc/p,,Vino tinto Malbec Marcus 750 ml,no_disponible,
https://www.carrefour.com.ar/dulce-de-leche-santa-clara-400-g-722007/p,,Dulce de leche Santa clara 400 g.,no_disponible,
https://www.delimart.com.ar/dulce_de_leche_clasico_ilolay_405_gr,,,exception,
https://www.carrefour.com.ar/osobuco-x-kg-678577/p,,Osobuco x kg.,no_disponible,
https://www.carrefour.com.ar/jabon-de-tocador-estrella-relajacion-3-x-130-g-661759/p,,Jabón de tocador Estrella relajación 3 x 130 g.,no_disponible,
https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-legitimo-15-lt-15122/p,Dia,Aceite De Girasol Legitimo 15 Lt 15122,,0.0
https://www.carrefour.com.ar/galletitas-dulces-variedad-terrabusi-mix-tamano-familiar-390-g-714816/p,,Galletitas dulces Variedad Terrabusi mix tamaño familiar 390 g.,no_disponible,
https://diaonline.supermercadosdia.com.ar/huevos-grandes-blancos-don-ramon-6-ud-54365/p,Dia,Huevos Grandes Blancos Don Ramon 6 Ud 54365,,0.0
https://www.carrefour.com.ar/galletitas-crackers-granix-200-g/p,,Galletitas crackers Granix 200 g.,no_disponible,
https://www.carrefour.com.ar/medio-pollo-congelado-x-kg-738510/p,,Medio pollo congelado x kg.,no_disponible,
https://www.carrefour.com.ar/soda-bulnez-225-lts-728710/p,,"Soda Bulnez 2,25 lts",no_disponible,
https://www.carrefour.com.ar/antitranspirante-en-barra-rexona-clinical-classic-50-g/p,,Antitranspirante en barra Rexona clinical classic 50 g.,no_disponible,
https://www.carrefour.com.ar/huevos-frescos-blancos-carrefour-6-u/p,,Huevos frescos blancos Carrefour 6 u.,no_disponible,
https://www.carrefour.com.ar/yogur-bebible-frutilla-la-serenisima-clasico-900-g-726990/p,,Yogur bebible frutilla La SerenÍsima clásico 900 g.,no_disponible,
https://www.carrefour.com.ar/jabon-de-tocador-palmolive-naturals-kerite-y-vitamina-e-nutricion-intensiva-x3-980-grs-713803/p,,Jabón de tocador Palmolive Naturals Karité y Vitamina E Nutrición Intensiva x3 90 grs,no_disponible,
https://www.carrefour.com.ar/rollo-de-cocina-felpita-pano-blanco-60-panos-3-uni-761630/p,,Rollo de cocina Felpita paño blanco 60 paños 3 uni,no_disponible,
https://www.carrefour.com.ar/galletitas-de-chocolate-carrefour-classic-220-g-730823/p,,Galletitas de chocolate Carrefour classic 220 g.,no_disponible,
https://www.delimart.com.ar/cafe_instantaneo_tradicion_nescafe_x170_gr,,,exception,
https://www.carrefour.com.ar/galletitas-dale-chocolate-rellenas-de-vainilla-115-g/p,,Galletitas Dale chocolate rellenas de vainilla 115 g.,no_disponible,
https://www.carrefour.com.ar/galletitas-formis-vainilla-rellenas-frutilla-102-g-712649/p,,Galletitas Formis vainilla rellenas frutilla 102 g.,no_disponible,
https://diaonline.supermercadosdia.com.ar/acondicionador-fortalecimiento-palta-dove-400ml-293989/p,Dia,Acondicionador Fortalecimiento Palta Dove 400Ml 293989,,0.0
https://www.carrefour.com.ar/azucar-comun-tipo-a-bella-vista-1-kg-421740/p,,Azúcar comun tipo A Bella vista 1 kg.,no_disponible,
https://www.carrefour.com.ar/galletitas-pepas-bulnez-en-bolsa-150-grs-753110/p,,Galletitas pepas Bulnez en bolsa 150 grs,no_disponible,
https://www.carrefour.com.ar/harina-de-trigo-tassara-tipo-000-1-kg-703208/p,,Harina de trigo Tassara tipo 000 1 kg.,no_disponible,
https://www.delimart.com.ar/suavizante_de_ropa_comfort_botella__cuidado_intensivo_500_ml,,,exception,
https://www.carrefour.com.ar/alcohol-etilico-70-desinfeccion-bialcohol-botella-1-l/p,,Alcohol etílico 70% desinfección Bialcohol botella 1 l.,no_disponible,
https://www.carrefour.com.ar/zapallo-plomo-x-kg-735566/p,,Zapallo plomo x kg.,no_disponible,
https://www.carrefour.com.ar/gaseosa-fanta-naranja-2-25-lts-30139/p,,,404,
https://www.carrefour.com.ar/pure-de-tomates-alco-520-g/p,,Pure de tomates Alco 520 g.,no_disponible,
https://www.delimart.com.ar/mayonesa_dfisesta_475_gr,,,exception,
https://www.carrefour.com.ar/mermelada-carrefour-classic-de-arandanos-454-g-739420/p,,Mermelada Carrefour Classic de arándanos 454 g.,no_disponible,
https://www.carrefour.com.ar/mayonesa-danica-dp-500-g-722816/p,,Mayonesa Dánica dp 500 g.,no_disponible,
https://diaonline.supermercadosdia.com.ar/limpiador-de-pisos-plastificados-y-flotantes-blem-citrus-botella-800-ml-271483/p,Dia,Limpiador De Pisos Plastificados Y Flotantes Blem Citrus Botella 800 Ml 271483,,0.0
https://www.carrefour.com.ar/harina-de-trigo-000-blancaflor-1-kg-735294/p,,Harina de trigo 000 Blancaflor 1 kg.,no_disponible,
https://www.carrefour.com.ar/galletitas-frambuesa-rellenas-sonrisas-x3-324-grs-675041/p,,Galletitas frambuesa rellenas Sonrisas x3 324 grs,no_disponible,
https://www.carrefour.com.ar/huevo-blanco-carnave-carton-6-u/p,,Huevo blanco Carnave cartón 6 u.,no_disponible,
https://www.carrefour.com.ar/galletitas-dulces-duquesa-terrabusi-115-g-521124/p,,,404,
https://www.carrefour.com.ar/galletitas-chocolate-negro-macucas-black-110-grs-760486/p,,Galletitas chocolate negro Macucas black 110 grs,no_disponible,
https://www.carrefour.com.ar/gaseosa-naranja-cunnington-classic-pet-225-lts-721468/p,,"Gaseosa naranja Cunnington classic pet 2,25 lts",no_disponible,
https://www.carrefour.com.ar/mortadela-mini-el-bierzo-300-g-730209/p,,Mortadela mini El Bierzo 300 g.,no_disponible,
https://www.carrefour.com.ar/fideos-tallarines-marolio-500-g-746925/p,,Fideos tallarines Marolio 500 g.,no_disponible,
https://www.carrefour.com.ar/choclo-en-granos-arcor-amarillo-lata-300-g-699528-699528/p,,Choclo en granos Arcor amarillo lata 300 g.,no_disponible,
https://diaonline.supermercadosdia.com.ar/huevo-blanco-extragrande-opi-6-ud-114868/p,Dia,Huevo Blanco Extragrande Opi 6 Ud 114868,,0.0
,,,"EXCEPTION: Message: invalid argument
  (Session info: chrome=149.0.7827.158)
Stacktrace:
	chromedriver!GetHandleVerifier [0x7ff710853fa5+14925]
	chromedriver!GetHandleVerifier [0x7ff710854000+14980]
	chromedriver!(No symbol) [0x7ff710397726]
	chromedriver!(No symbol) [0x7ff710383ba8]
	chromedriver!(No symbol) [0x7ff710381ff5]
	chromedriver!(No symbol) [0x7ff710382562]
	chromedriver!(No symbol) [0x7ff71039bbe6]
	chromedriver!(No symbol) [0x7ff7104401c4]
	chromedriver!(No symbol) [0x7ff71041a3ca]
	chromedriver!(No symbol) [0x7ff71043f39b]
	chromedriver!(No symbol) [0x7ff7103e401c]
	chromedriver!(No symbol) [0x7ff7103e4f43]
	chromedriver!GetHandleVerifier [0x7ff710e37591+5f7f11]
	chromedriver!GetHandleVerifier [0x7ff710e31902+5f2282]
	chromedriver!GetHandleVerifier [0x7ff710e57115+617a95]
	chromedriver!GetHandleVerifier [0x7ff710871dce+3274e]
	chromedriver!GetHandleVerifier [0x7ff71087a82c+3b1ac]
	chromedriver!GetHandleVerifier [0x7ff71085d744+1e0c4]
	chromedriver!GetHandleVerifier [0x7ff71085d8d4+1e254]
	chromedriver!GetHandleVerifier [0x7ff710841447+1dc7]
	KERNEL32!BaseThreadInitThunk [0x7ffd6194e957+17]
	ntdll!RtlUserThreadStart [0x7ffd62787c1c+2c]
",
https://www.delimart.com.ar/cafe_instantaneo_nescafe_dolca_aroma_original_50_g,,,exception,
https://www.carrefour.com.ar/mortadela-mini-con-pimienta-300-grs-730188/p,,,404,
https://www.carrefour.com.ar/galletitas-dulces-les-tablettes-con-chocolate-y-corazon-con-leche-carrefour-extra-140-grs-759598/p,,,404,
https://www.carrefour.com.ar/mani-con-piel-mani-king-350-g-723563/p,,Maní con piel Maní King 350 g.,no_disponible,
https://www.carrefour.com.ar/galletitas-dulces-bulnez-surtidas-rellenas-350-grs-747983/p,,,404,
https://www.carrefour.com.ar/mani-salado-con-piel-king-100-g-723559/p,,,no_name,
https://www.carrefour.com.ar/galletitas-dulces-carrefour-classic-de-avena-y-miel-300-g-724760/p,,,404,
https://www.carrefour.com.ar/whisky-jameson-irlandes-la-1-l-697596/p,,Whisky Jameson irlandés la 1 l.,no_disponible,
https://www.carrefour.com.ar/suavizante-clasico-comfort-para-ropa-dp-900-cc/p,,Suavizante Clásico Comfort para ropa dp 900 cc,no_disponible,
https://www.carrefour.com.ar/aceite-de-girasol-lira-15-l/p,,Aceite de girasol Lira 1.5 l.,no_disponible,
https://www.carrefour.com.ar/galletitas-de-avena-bulnez-con-chips-175-grs-758858/p,,Galletitas de avena Bulnez con chips 175 grs,no_disponible,
https://diaonline.supermercadosdia.com.ar/te-negro-morenita-25-ud-307681/p,Dia,Te Negro Morenita 25 Ud 307681,,0.0
https://www.carrefour.com.ar/cerveza-rubia-heineken-473-ml-582180/p,,Cerveza rubia Heineken 473 ml,no_disponible,
https://www.delimart.com.ar/cafe_instantaneo_dolca_nescafe_x_100_gr,,,exception,
https://www.carrefour.com.ar/pasta-dental-kolynos-frescura-90-g-673205/p,,,404,
https://www.carrefour.com.ar/alimento-seco-para-gato-sabrositos-pescado-3-kg-670856/p,,,404,
https://www.carrefour.com.ar/cerveza-rubia-schneider-473-ml-176451/p,,Cerveza rubia Schneider 473 ml,no_disponible,
https://www.carrefour.com.ar/mortadela-mini-con-pistacho-300-grs-730186/p,,Mortadela mini con pistacho 300 grs,no_disponible,
https://www.carrefour.com.ar/cerveza-rubia-imperial-ipa-473-ml-639588/p,,,404,
https://www.carrefour.com.ar/galletitas-dulces-cachafaz-miel-y-avena-organicas-170-g/p,,,404,
https://www.carrefour.com.ar/soda-cordoba-sifon-2-lts-603857/p,,Soda Córdoba sifón 2 lts,no_disponible,
https://www.carrefour.com.ar/galletitas-crackers-la-providencia-505-g/p,,Galletitas crackers La Providencia 505 g.,no_disponible,
https://www.carrefour.com.ar/galletitas-cachafaz-avena-y-algarroba-225-g/p,,,404,
https://www.carrefour.com.ar/galletitas-trimak-polvoron-con-chips-de-chocolate-150-g/p,,,404,
https://www.carrefour.com.ar/suavizante-downy-brisa-intenso-rinde-4-l-perfume-intenso-de-larga-duracion-1-l-727933/p,,"Suavizante Downy Brisa Intenso, Rinde 4L, Perfume Intenso de Larga Duración 1L",no_disponible,
https://www.carrefour.com.ar/gaseosa-cola-coca-cola-sabor-liviano-225-lts-159570/p,,"Gaseosa cola Coca Cola sabor liviano 2,25 lts",no_disponible,
https://www.carrefour.com.ar/jugo-natural-biofrut-naranja-1-l/p,,Jugo natural Biofrut naranja 1 l.,no_disponible,
https://www.carrefour.com.ar/gaseosa-tonica-cunnington-suave-sin-tacc-225-lts-723484/p,,"Gaseosa tónica Cunnington suave sin tacc 2,25 lts",no_disponible,
https://www.carrefour.com.ar/leche-entera-lechelita-uat-tetra-1-l-689731-689731/p,,Leche entera Lechelita uat tetra 1 l.,no_disponible,
https://www.carrefour.com.ar/alimento-a-base-de-queso-rallado-la-quesera-100-g-664368/p,,Alimento a base de queso rallado La quesera 100 g.,no_disponible,
https://www.carrefour.com.ar/pure-de-tomate-salsati-520-g/p,,Puré de tomate Salsati 520 g.,no_disponible,
https://www.carrefour.com.ar/galletitas-anillitos-9-de-oro-de-coco-180-g-733274/p,,Galletitas anillitos 9 de Oro de coco 180 g.,no_disponible,
https://www.carrefour.com.ar/nalga-entera-x-kg-678583/p,,Nalga entera x kg.,no_disponible,
https://www.carrefour.com.ar/toallas-femeninas-carrefour-con-alas-8-u/p,,Toallas femeninas Carrefour con alas 8 u.,no_disponible,
https://www.carrefour.com.ar/galletitas-dulce-gaona-crunchips-pocket-72-grs-762936/p,,Galletitas dulce Gaona crunchips pocket 72 grs,no_disponible,
https://www.carrefour.com.ar/gin-tanqueray-700-cc/p,,Gin Tanqueray 700 cc,no_disponible,
https://www.carrefour.com.ar/vinagre-de-alcohol-alcazar-1-l/p,,,404,
https://depotexpress.com.ar/productos/tocador-y-cosmtica/jabl-rexona-ant-aloe-250x/,,,exception,
https://www.carrefour.com.ar/pollo-entero-congelado-el-mercado-x-kg-741361/p,,Pollo entero congelado El Mercado x kg.,no_disponible,
