nombre,precio_normal,precio_descuento,precio_por_unidad,unidad,descuentos,fecha,supermercado,url,id_link_producto,peso,error_type,titulo
Mermelada Noel Frutilla X 454gr,3605.46,3605.46,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/mermelada_noel_frutilla_x_454gr,224,0.454,,
Yerba Mate Buenas y Santas X500g Con Hierbas,2112.84,2112.84,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/yerba_mate_buenas_y_santas_x500g_con_hierbas,399,0.5,,
Galletita C/Chips de Chocolate Tubo Fantoche x 155gr,1172.65,1172.65,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletita_cchips_de_chocolate_tubo_fantoche_x_155gr,17,0.155,,
Sal Fina Dos Anclas 500 Gr,1076.20,1076.20,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/sal_fina_dos_anclas_500_gr2,245,0.5,,
Galletitas Trio Tartelette Frutilla x 300gr,1930.47,1930.47,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletitas_trio_tartelette_frutilla_x_300gr,30,0.3,,
Galletitas De Agua Media Tarde 105gr,542.94,542.94,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletitas_de_agua_media_tarde_105gr,70,0.105,,
Galletita Rellena Amor 330 Gr,4162.50,4162.50,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletita_rellena_amor_330_gr,64,0.33,,
Tomate Perita el kilo a,2400.00,2400.00,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/tomate_perita_el_kilo_a,191,1.0,,
Fideos Spaghetti La Campagnola 500 Gr,1940.92,1940.92,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/fideos_spaghetti_la_campagnola_500_gr,98,0.5,,
Te Esp S/Ens Taragui 25sq,1081.50,1081.50,0,U,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/te_esp_sens_taragui_25sq,412,25.0,,
Galletitas Cereal Mix Semilla & Chips x 207 gr,2261.09,2261.09,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletitas_cereal_mix_semilla__chips_x_207_gr,51,0.207,,
Dulce De Batata Vainilla Arcor 500 G,2307.06,2307.06,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/dulce_de_batata_vainilla_arcor_500_g,213,0.5,,
Dulce De Leche Clasico Ilolay 1 Kg,7248.37,7248.37,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/dulce_de_leche_clasico_ilolay_1_kg2,174,1.0,,
Costilla Don Juan - Envasado al vacío - El kilo a,31957.31,31957.31,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/costilla_don_juan_-_envasado_al_vacio_-_el_kilo_a,105,1.0,,
Galletitas Dulces Porteñitas 139g,1336.11,1336.11,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletitas_dulces_portenitas_139g,23,0.139,,
Dulce de Leche Clasico Cremigal 400 Gr,2672.65,2672.65,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/dulce_de_leche_clasico_cremigal_400_gr,177,0.4,,
Galletitas Serranitas x 3 315 G,1541.66,1541.66,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletitas_serranitas_x_3_315_g,76,0.315,,
Mermelada Frutilla Arcor 454 Gr,4636.40,4636.40,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/mermelada_frutilla_arcor_454_gr,235,0.454,,
Galletitas Clasicas Sabor Coco Lincoln 153 Gr,2100.37,2100.37,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletitas_clasicas_sabor_coco_lincoln_153_gr,45,0.153,,
Yerba Mate Union Suave Liviana 1 Kg,6774.42,6774.42,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/yerba_mate_union_suave_liviana_1_kg,379,1.0,,
Galletitas Choco C/Vainilla Rumba 330 Gr,4162.50,4162.50,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletitas_choco_cvainilla_rumba_330_gr,63,0.336,,
Conserva Granos De Choclo Amarillo Entero Arcor x 205 Gr,2118.29,2118.29,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/conserva_granos_de_choclo_amarillo_entero_arcor_x_205_gr,190,0.205,,
Vino Malbec Tribu 750 Cc,4008.31,4008.31,0,L,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/vino_malbec_tribu_750_cc,335,0.75,,
Banana Importada el kg a,3744.00,3744.00,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/banana_importada_el_kg_a,183,1.0,,
Galletitas Cereal Mix Frutilla y Chia 207 Gr,2261.11,2261.11,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/galletitas_cereal_mix_frutilla_y_chia_207_gr,50,0.207,,
Yerba Mate Compuesta Verdeflor Con Cedron x 500 Gr,2266.48,2266.48,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/yerba_mate_compuesta_verdeflor_con_cedron_x_500_gr,370,0.5,,
Carne Molida Especial Aguma aprox 1kg,14332.49,14332.49,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/carne_molida_especial_aguma_aprox_1kg,3036,1.0,,
Dulce de Leche Clasico La Serenisima 250 Gr,2007.19,2007.19,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/dulce_de_leche_clasico_la_serenisima_250_gr,178,0.25,,
Yogur Bebible Entero De Frutilla Gran Compra 900 G,1573.84,1573.84,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/yogur_bebible_entero_de_frutilla_gran_compra_900_g,164,0.9,,
Dulce Batata Dulcor Fraccionado x 1kg aprox,2974.39,2974.39,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/dulce_batata_dulcor_fraccionado_x_1kg_aprox,212,1.0,,
Yerba Mate Rosamonte Plus Suave 1 Kg,4757.13,4757.13,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/yerba_mate_rosamonte_plus_suave_1_kg2,362,1.0,,
Te Taragui x 100 saquitos,3066.49,3066.49,0,U,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/te__taragui_x_100_saquitos,406,100.0,,
* Yogur Bebible Clasico De Frutilla La Serenisima x 900 Gr,1912.32,1625.47,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/_yogur_bebible_clasico_de_frutilla_la_serenisima_x_900_gr23456789101112131415161718,168,0.9,,
,,,,KG,,,,https://www.delimart.com.ar/yerba_suave_nobleza_gaucha_500gr2,386,0.5,exception,"Message: 
Stacktrace:
#0 0x6372fee7175a <unknown>
#1 0x6372fe9244b0 <unknown>
#2 0x6372fe9759b3 <unknown>
#3 0x6372fe975ba1 <unknown>
#4 0x6372fe9c41f4 <unknown>
#5 0x6372fe99b5bd <unknown>
#6 0x6372fe9c15e0 <unknown>
#7 0x6372fe99b363 <unknown>
#8 0x6372fe967d63 <unknown>
#9 0x6372fe9689c1 <unknown>
#10 0x6372fee36a6b <unknown>
#11 0x6372fee3a951 <unknown>
#12 0x6372fee1eb62 <unknown>
#13 0x6372fee3b4c4 <unknown>
#14 0x6372fee0313f <unknown>
#15 0x6372fee5f6f8 <unknown>
#16 0x6372fee5f8d6 <unknown>
#17 0x6372fee705a6 <unknown>
#18 0x75d948c9caa4 <unknown>
#19 0x75d948d29c6c <unknown>
"
Te La Virginia 25sq,1380.43,1380.43,0,U,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/te_la_virginia_25sq2,410,25.0,,
Azúcar común Arcor 1 Kg,1509.35,1509.35,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/azucar_comun_arcor_1_kg,211,1.0,,
Mermelada Frutos Rojos BC La Campagnola x 390 Gr,5485.35,5485.35,0,KG,Ninguno,2026-04-13,Delimart,https://www.delimart.com.ar/mermelada_frutos_rojos_bc_la_campagnola_x_390_gr,218,0.39,,
